城市,纬度,经度,高铁时间,高铁费用,出发城市
福州,26.0745,119.2965,2.30697164949165,346.045747423748,广州
汕尾,22.7877,115.3751,0.731382663049779,109.707399457467,广州
安庆,30.5086,117.0472,3.00718047639102,451.077071458654,广州
北京,39.9042,116.4074,6.29529693669428,944.294540504142,广州
常德,29.0316,111.6537,2.25241712191871,337.862568287806,广州
成都,30.5728,104.0668,4.10316287177287,615.474430765931,广州
楚雄州,25.0367,101.546,4.0264707478269,603.970612174034,广州
儋州,19.5209,109.582,1.8450651222692,276.759768340379,广州
定西,35.5807,104.6266,5.38733968930944,808.100953396416,广州
恩施,30.2722,109.488,2.92740583556916,439.110875335374,广州
贵阳,26.6477,106.6302,2.583188949918,387.4783424877,广州
杭州,30.2741,120.1551,3.49375558547292,524.063337820938,广州
贺州,24.4033,111.5672,0.744633208088892,111.694981213334,广州
呼和浩特,40.8426,111.749,6.58246655498675,987.369983248013,广州
惠州,23.1103,114.4168,0.39289272231641,58.9339083474615,广州
济源,35.0671,112.5876,4.43020470591896,664.530705887844,广州
嘉峪关,39.8023,98.2901,7.76081643071536,1164.1224646073,广州
晋城,35.4907,112.8513,4.58375419703645,687.563129555468,广州
可克达拉,43.6836,81.164,12.3867012000541,1858.00518000812,广州
丽江,26.8721,100.2296,4.59034991453514,688.552487180272,广州
临高,19.9186,109.6873,1.71366236914255,257.049355371383,广州
泸州,28.8724,105.4479,3.36160796670671,504.241195006007,广州
南充,30.8375,106.0806,3.71170001081812,556.755001622718,广州
攀枝花,26.5823,101.716,4.08735108010215,613.102662015323,广州
潜江,30.4268,112.899,2.70758535133919,406.137802700879,广州
琼海,19.2592,110.4745,1.72813530715088,259.220296072632,广州
三亚,18.2528,109.5119,2.22669141277723,334.003711916584,广州
邵阳,27.2333,111.4672,1.63623013662198,245.434520493297,广州
朔州,39.3316,112.432,6.0111631832152,901.674477482279,广州
台州,28.6564,121.4208,3.40317802269056,510.476703403584,广州
通化,41.7212,125.9406,7.93038354013208,1189.55753101981,广州
潍坊,36.7068,119.1035,5.3676730483688,805.15095725532,广州
五家渠,44.1674,87.5269,11.0396712092636,1655.95068138954,广州
咸宁,29.8413,114.3228,2.51248178514547,376.872267771821,广州
雄安新区,38.999,115.854,5.93859188744985,890.788783117478,广州
扬州,32.3929,119.421,3.98122585543724,597.183878315586,广州
中山,22.5159,113.3926,0.231463756688717,34.7195635033075,广州
大理,25.6065,100.2676,4.4810487478442,672.15731217663,广州
包头,40.6582,109.8463,6.58409963891429,987.614945837143,广州
忻州,38.4167,112.7196,5.66896813888353,850.345220832529,广州
珠海,22.277,113.562,0.331818518567778,49.7727777851667,广州
凉山,27.8268,99.7071,4.85518718864812,728.278078297217,广州
运城,35.0958,111.0036,4.4950465717763,674.256985766445,广州
白城,45.616,123.9691,8.93583930128656,1340.37589519298,广州
唐山,39.6296,118.1944,6.30887273430364,946.330910145546,广州
博尔塔拉,44.9065,82.0721,12.3942026837924,1859.13040256885,广州
阜新,42.0297,121.6761,7.47231633472911,1120.84745020937,广州
宝鸡,34.367,107.2313,4.60101584758173,690.15237713726,广州
阿里,32.3151,81.1522,11.0237089667642,1653.55634501462,广州
保亭,18.6011,109.6957,2.08402885325952,312.604327988928,广州
