来源城市,AQI,绿化覆盖率 (%),废水处理率 (%),废气处理率 (%),垃圾分类处理率 (%),历史遗迹数量,博物馆数量,文化活动频次,文化设施数量,公共交通覆盖率 (%),线路密度 (km/km²),高速公路里程 (km),机场航班数量,年平均气温 (℃),年降水量 (mm),适宜旅游天数,空气湿度 (%),餐馆数量,特色美食数量,美食活动频次
Fuzhou,18,40,92,89,80,20,8,30,25,85,2.1,340,55,20,1350,260,70,300,60,25
Shanwei,44,38,90,88,78,25,10,35,30,85,2,350,60,13,600,240,65,250,55,25
Anqing,42,38,90,88,78,25,10,35,30,85,2,350,60,13,600,240,65,250,55,25
Beijing,42,38,90,88,78,25,10,35,30,85,2,350,60,13,600,240,65,250,55,25
Changde,42,38,90,88,78,25,10,35,30,85,2,350,60,13,600,240,65,250,55,25
Chengdu,42,38,90,88,78,25,10,35,30,85,2,350,60,13,600,240,65,250,55,25
Chuxiongzhou,42,38,90,88,78,25,10,35,30,85,2,350,60,13,600,240,65,250,55,25
Danzhou,42,38,90,88,78,25,10,35,30,85,2,350,60,13,600,240,65,250,55,25
Dingxi,42,38,90,88,78,25,10,35,30,85,2,350,60,13,600,240,65,250,55,25
Enshi,42,38,90,88,78,25,10,35,30,85,2,350,60,13,600,240,65,250,55,25
Guiyang,42,38,90,88,78,25,10,35,30,85,2,350,60,13,600,240,65,250,55,25
Hangzhou,42,38,90,88,78,25,10,35,30,85,2,350,60,13,600,240,65,250,55,25
Hezhou,42,38,90,88,78,25,10,35,30,85,2,350,60,13,600,240,65,250,55,25
Huhehaote,42,38,90,88,78,25,10,35,30,85,2,350,60,13,600,240,65,250,55,25
Huzhou,42,38,90,88,78,25,10,35,30,85,2,350,60,13,600,240,65,250,55,25
Jiyuan,42,38,90,88,78,25,10,35,30,85,2,350,60,13,600,240,65,250,55,25
Jiayuguan,42,38,90,88,78,25,10,35,30,85,2,350,60,13,600,240,65,250,55,25
Jincheng,42,38,90,88,78,25,10,35,30,85,2,350,60,13,600,240,65,250,55,25
Kekedala,42,38,90,88,78,25,10,35,30,85,2,350,60,13,600,240,65,250,55,25
Lijiang,42,38,90,88,78,25,10,35,30,85,2,350,60,13,600,240,65,250,55,25
Lingao,42,38,90,88,78,25,10,35,30,85,2,350,60,13,600,240,65,250,55,25
Luzhou,42,38,90,88,78,25,10,35,30,85,2,350,60,13,600,240,65,250,55,25
Nanchong,42,38,90,88,78,25,10,35,30,85,2,350,60,13,600,240,65,250,55,25
Panzhihua,42,38,90,88,78,25,10,35,30,85,2,350,60,13,600,240,65,250,55,25
Qianjiang,42,38,90,88,78,25,10,35,30,85,2,350,60,13,600,240,65,250,55,25
Qionghai,42,38,90,88,78,25,10,35,30,85,2,350,60,13,600,240,65,250,55,25
Sanya,42,38,90,88,78,25,10,35,30,85,2,350,60,13,600,240,65,250,55,25
Shaoyang,42,38,90,88,78,25,10,35,30,85,2,350,60,13,600,240,65,250,55,25
Shuozhou,42,38,90,88,78,25,10,35,30,85,2,350,60,13,600,240,65,250,55,25
Taizhou,42,38,90,88,78,25,10,35,30,85,2,350,60,13,600,240,65,250,55,25
Tonghua,42,38,90,88,78,25,10,35,30,85,2,350,60,13,600,240,65,250,55,25
Weifang,42,38,90,88,78,25,10,35,30,85,2,350,60,13,600,240,65,250,55,25
Wujiaqu,42,38,90,88,78,25,10,35,30,85,2,350,60,13,600,240,65,250,55,25
Xianning,42,38,90,88,78,25,10,35,30,85,2,350,60,13,600,240,65,250,55,25
Xionganxinqu,42,38,90,88,78,25,10,35,30,85,2,350,60,13,600,240,65,250,55,25
Yangzhou,42,38,90,88,78,25,10,35,30,85,2,350,60,13,600,240,65,250,55,25
Zhongshan,42,38,90,88,78,25,10,35,30,85,2,350,60,13,600,240,65,250,55,25
Dali,31,38,90,88,78,25,10,35,30,85,2,350,60,13,600,240,65,250,55,25
Baotou,52,40,90,85,75,20,8,30,25,80,1.8,320,50,10,500,240,65,200,50,20
Xinzhou,68,38,87,84,73,15,6,25,18,77,1.5,300,45,14,900,230,60,180,40,18
Zhuhai,66,38,87,84,73,15,6,25,18,77,1.5,300,45,14,900,230,60,180,40,18
Liangshan,68,38,90,88,78,20,5,25,15,85,1.5,250,30,8,450,280,60,120,30,12
Yuncheng,62,38,87,84,73,15,6,25,18,77,1.5,300,45,14,900,230,60,180,40,18
Baicheng,55,34,89,84,74,18,7,22,20,77,1.4,290,50,15,950,240,58,190,35,16
Tangshan,60,38,87,84,73,15,6,25,18,77,1.5,300,45,14,900,230,60,180,40,18
Boertala,45,38,89,86,75,18,7,28,22,78,1.6,310,48,10,500,240,65,200,50,16
Fuxin,45,38,89,86,75,18,7,28,22,78,1.6,310,48,10,500,240,65,200,50,16
Baoji,49,38,88,84,73,18,7,28,22,77,1.6,310,48,12,800,230,63,190,45,16
Ali,48,37,89,86,74,12,5,22,17,78,1.4,290,44,16,900,240,58,170,35,15
Baoting,48,37,89,86,74,12,5,22,17,78,1.4,290,44,16,900,240,58,170,35,15
