名字,开放时间,评分,建议游玩时间,门票,来源城市
"加井岛Jiajing Island","8:00-18:30",4.5,4,"{'石梅湾加井岛单浮潜体验+摩托艇出海体验大小同价\n\n': ['¥330起'], '石梅湾加井岛双体动力帆船+DSD深潜体验+3小时水上项目畅玩体验成人票\n\n': ['¥778起'], '石梅湾加井岛加井岛浮潜套票+游艇散拼出海体验成人票\n\n': ['¥610起']}",万宁
"石梅湾Shimei Bay","全天开放",4.6,2,"{'石梅湾加井岛单浮潜体验+摩托艇出海体验大小同价\n\n': ['¥330起'], '石梅湾加井岛双体动力帆船+DSD深潜体验+3小时水上项目畅玩体验成人票\n\n': ['¥778起'], '石梅湾天鲸直升机飞行营地海景游11公里飞行体验大小同价\n\n': ['¥398起']}",万宁
"巴厘村Bali Village","全年 07:30-17:30",4,12,"{'巴厘村门票成人票\n\n': ['¥25起'], '巴厘村套票（门票+椰香博饼定制）套餐成人票\n\n': ['¥54起'], '兴隆巴厘村电子导览服务大小同价\n\n': ['¥5起']}",万宁
"兴隆热带植物园Xinglong Tropical Botanical Garden","8:00-17:00",4.5,2.5,"{'兴隆热带植物园门票成人票\n\n': ['¥48起'], '兴隆热带植物园门票老人票\n\n': ['¥25起'], '兴隆热带植物园门票亲子票(1大1小)\n\n': ['¥72起']}",万宁
"大洲岛Dazhou Island","全天开放",4.8,12,"{'大洲岛沉船浮潜套票成人票\n\n': ['¥498起'], '大洲岛沉船浮潜套票儿童票\n\n': ['¥298起'], '万宁大洲岛游艇/渔船快艇轻奢海岛游【海岛观光/浮潜体验】\n\n': ['¥498起']}",万宁
"日月湾Riyue Bay Haimen Tourism Area","全年 07:30-17:30",4.7,1.75,"{'日月湾冲浪票成人票\n\n': ['¥288起'], '沙卡冲浪俱乐部夏日冲浪店(日月湾店)零基础1v3冲浪体验课\n\n': ['¥428起'], '沙卡冲浪俱乐部夏日冲浪店(日月湾店)零基础1v3冲浪体验课团队票\n\n': ['¥1100起']}",万宁
"亚洲风情园","周一至周日07:00-18:00",4.3,3,"成人票38元优惠政策儿童1.2米以下免票，其它优惠政策以当地景点信息为准。",万宁
"洲仔岛Zhouzai Island","全年 全天开放",4.1,108,"免费",万宁
"东山岭文化旅游区Dongshan Ridge Cultural Tourism Area","全年 07:30-17:00",4.5,4,"{' 东山岭文化旅游区门票成人票\n\n': ['¥40起'], '东山岭文化旅游区门票优待票\n\n': ['¥21起'], ' 东山岭文化旅游区门票双人票\n\n': ['¥80起']}",万宁
"东南亚风情村","全天开放",3,2.5,"免费",万宁
"春园海风景区Chunyuanhai Sceneic Area","全年 全天开放",4.7,2.5,"免费参观",万宁
"兴隆热带花园Xinglong Tropical Garden","全年 7:30-18:00",4.2,2.5,"{'兴隆热带花园电子导览服务大小同价\n\n': ['¥7起'], '万宁石梅湾豪华游艇/帆船出海体验【海钓+自由浮潜+魔毯】\n\n': ['¥1800起'], '万宁石梅湾随心而行山地越野\n\n': ['¥268起']}",万宁
"兴隆南药植物园Xinglong South Medicine Botanical Garden","景区暂时停业，详情请以景区公示为准；原开放时间：7:00-18:30",4.1,2.5,"{'【酒店套餐】神州半岛君悦酒店园景房/高级客房1-2晚+早餐+悦趣营\n\n': ['¥1891起']}",万宁
"西岛West Island","全年 08:30-17:30",4.4,4,"{'三亚西岛门票+往返船票成人票\n\n': ['¥90起'], '西岛门票+往返船票成人票\n\n': ['¥80起'], '西岛门票+往返船票优待票\n\n': ['¥48起']}",三亚
"大东海Dadonghai","全天开放",4.6,12,"{'大东海出海观光+岛礁深潜+浮潜(含装备)+娱乐9项目+VIP餐体验成人票\n\n': ['¥92起'], '大东海SUP桨板洞穴探险+5M悬崖跳水等项目体验成人票\n\n': ['¥298起'], '大东海出海观光+岛礁深潜+浮潜(含装备)+娱乐8项目+简餐套票成人票\n\n': ['¥48起']}",三亚
"蜈支洲岛Wuzhizhou Island","1/1-8/9 08:00-19:30;8/10-9/9 09:00-17:30;9/10-12/31 08:00-17:30",4.6,108,"{'三亚蜈支洲岛旅游区门票+往返船票成人票\n\n': ['¥140起'], '三亚蜈支洲岛旅游区门票+往返船票儿童票\n\n': ['¥72起'], '三亚蜈支洲岛旅游区门票+往返船票学生票\n\n': ['¥72起']}",三亚
"皇后湾Queen Bay","9:00-17:00",4.5,72,"具体收费情况以景区现场公示为主",三亚
"亚龙湾热带天堂森林公园Yalong Bay Tropical Paradise Forest Park","1/1-8/17 07:30-18:00;8/18-9/10 08:30-18:00;9/11-12/31 07:30-18:00",4.5,12,"{'亚龙湾热带天堂森林公园门票+游览车票成人票\n\n': ['¥134.5起'], '亚龙湾热带天堂森林公园门票+游览车票儿童票\n\n': ['¥104起'], '亚龙湾热带天堂森林公园门票+游览车票老人票\n\n': ['¥104起']}",三亚
"椰梦长廊Coconut Dream Corridor","全年 全天开放",4.5,0.5,"{'【海陆空专线】豪华游艇出海3小时含深潜+直升机体验(多套餐)\n\n': ['¥150起'], '海南三亚凤凰岛直升机飞行体验-凤凰岛出发\n\n': ['¥98起'], '三亚凤凰岛不凡水上游乐俱乐部【水上跑车/远海潜水/摩托艇自驾多种水上项目体验】\n\n': ['¥298起']}",三亚
"三亚亚特兰蒂斯失落的空间水族馆The Lost Chambers Aquarium (Sanya)","1/1-9/24 10:00-18:00;9/25-11/2 10:00-22:00;11/3-11/3 09:00-13:00;11/4-12/31 10:00-20:00",4.5,1.5,"{'亚特兰蒂斯失落的空间水族馆门票成人票\n\n': ['¥192起'], '亚特兰蒂斯失落的空间水族馆门票儿童票\n\n': ['¥157起'], '亚特兰蒂斯失落的空间水族馆门票老人票\n\n': ['¥157起']}",三亚
"亚龙湾Yalong Bay","全天开放",4.7,252,"{'亚龙湾滨海世界深潜+摩托艇+香蕉船/帆船2选1+冲浪板+简餐票+亚龙湾滨海世界无动力项目套票（A套餐）票大小同价\n\n': ['¥208起'], '亚龙湾滨海世界深潜+飞龙+香蕉船/帆船+冲浪板+简餐+无动力项目(B套餐)票大小同价\n\n': ['¥238起'], '亚龙湾滨海世界深潜+摩托艇+飞龙+香蕉船/帆船2选1+冲浪板+简餐+无动力项目(C套餐)套票大小同价\n\n': ['¥358起']}",三亚
"后海村Houhai Village","全天开放",4.5,72,"{'龙玺冲浪俱乐部国职1v4冲浪不限时+单反+无人机票大小同价\n\n': ['¥168起'], '后海浮潜套票成人票\n\n': ['¥268起'], '后海村后海游艇夜间出海捞鱼体验大小同价\n\n': ['¥355起']}",三亚
"海棠湾Haitang Bay","全天开放",4.6,12,"{'龙玺冲浪俱乐部国职1v4冲浪不限时+单反+无人机票大小同价\n\n': ['¥168起'], '三亚海棠湾塔赫跳伞基地直升机跳伞(含手持摄像+第三方拍摄)体验成人票\n\n': ['¥6999起'], '三亚海棠湾塔赫跳伞基地直升机跳伞(含手持摄像)体验成人票\n\n': ['¥5299起']}",三亚
"亚龙湾国际玫瑰谷Yalong Bay Rose Valley","全年 08:00-17:30",3.9,2.5,"{'亚龙湾国际玫瑰谷门票成人票\n\n': ['¥44.4起'], '亚龙湾国际玫瑰谷门票亲子票(1大1小)\n\n': ['¥88起'], '亚龙湾国际玫瑰谷门票+电瓶车成人票\n\n': ['¥65起']}",三亚
"天涯海角Tianya Haijiao","全年 07:30-18:20",4.5,4,"{'天涯海角门票\n\n': ['¥79起'], '天涯海角门票成人票\n\n': ['¥55起'], '天涯海角门票儿童票\n\n': ['¥41起']}",三亚
"凤凰岛Fenghuang Island","全年 周日 12:00-17:00;全年 周一,周三-周四 10:00-17:00;全年 周二 10:00-17:00,18:00-22:00",4.5,108,"{'凤凰岛尾波冲浪体验票大小同价\n\n': ['¥1100起'], '三亚凤凰岛帆船教学体验票大小同价\n\n': ['¥268起'], '三亚凤凰岛冲浪板体验票大小同价\n\n': ['¥298起']}",三亚
"蝴蝶谷Butterfly Valley","暂停营业，具体开放时间以景区公告为准或电话咨询景区。原开放时间为：7:30-18:00。",4.5,2,"33元",三亚
"小东海Xiaodonghai","全年 9:00-16:00",4.6,3,"{'小东海SUP桨板体验成人票\n\n': ['¥368起'], '小东海SUP桨板溶洞探险体验成人票\n\n': ['¥288起'], '小东海赶海票大小同价\n\n': ['¥168起']}",三亚
"情人岛Lover Island","全年 08:00-17:30",4.6,1.5,"{'【酒店套餐】舟山绿城直营朱家尖东沙度假酒店1晚+双人早餐\n\n': ['¥429起']}",三亚
"三亚湾Sanya Bay","全天开放",4.6,2.5,"{'三亚湾水上飞机体验-三亚湾空域游览票成人票\n\n': ['¥1300起'], '三亚湾水上飞机体验-三亚湾空域游览票儿童票\n\n': ['¥450起'], '三亚湾水上飞机体验-三亚直飞西沙包机空中观光往返体验成人票\n\n': ['¥44000起']}",三亚
"亚龙湾中心广场Yalong Bay Central Square","全天开放",4.6,1.5,"{'亚龙湾潜水+海上摩托艇+香蕉船+皮划艇+浮潜+沙滩狂欢等一价全包海上娱乐（不含篝火）票成人票\n\n': ['¥218起'], '亚龙湾潜水+摩托艇+香蕉船+独木舟+鳐鱼浮潜+沙滩狂欢等一价全包海上娱乐（含篝火）票成人票\n\n': ['¥385起'], '亚龙湾爱立方滨海乐园水上飞龙+远海潜水/地中海潜水+鳐鱼浮潜+香蕉船海上娱乐套票成人票\n\n': ['¥283起']}",三亚
"凤凰岭海誓山盟景区Sanya Phoenix Hill Park","9/1-9/30 周一,周三-周日 08:00-21:00;9/1-9/30 周二 13:00-21:00;10/1-12/31 周一,周三-周日 08:00-23:00;10/1-12/31 周二 13:00-23:00",4.6,2.5,"{'三亚凤凰岭海誓山盟景区门票+往返高空观海索道票+奇幻森林票成人票\n\n': ['¥94.1起'], '三亚凤凰岭海誓山盟景区门票+往返高空观海索道票+奇幻森林票儿童票\n\n': ['¥74.3起'], '三亚凤凰岭海誓山盟景区门票+往返高空观海索道票+奇幻森林票老人票\n\n': ['¥96起']}",三亚
"天涯镇(蓝白小镇)Tianyazhen","全年 全天开放",4.1,3,"具体收费情况以景区现场公示为主",三亚
"五指山Wuzhishan","7:30-16:00，16:00停止入场。",5,2.5,"免费",三亚
"天涯镇","全天",4.7,2.5,"免费",三亚
"亚龙湾滨海世界Yalong Bay Ailifang Marina Park","8:00-18:00",4.6,12,"{'亚龙湾潜水+海上摩托艇+香蕉船+皮划艇+浮潜+沙滩狂欢等一价全包海上娱乐（不含篝火）票成人票\n\n': ['¥218起'], '亚龙湾潜水+摩托艇+香蕉船+独木舟+鳐鱼浮潜+沙滩狂欢等一价全包海上娱乐（含篝火）票成人票\n\n': ['¥385起'], '亚龙湾爱立方滨海乐园水上飞龙+远海潜水/地中海潜水+鳐鱼浮潜+香蕉船海上娱乐套票成人票\n\n': ['¥283起']}",三亚
"鹿回头风景区Luhuitou Scenic Area","全年 08:00-22:30",4.6,3,"{'鹿回头风景区雨林穿越体验套餐成人票\n\n': ['¥35起'], '鹿回头风景区雨林穿越(含免费入园门票预约)体验票成人票\n\n': ['¥35起'], '鹿回头风景区门票+观光车票大小同价\n\n': ['¥28起']}",三亚
"大小洞天Daxiaodongtian Area","全年 07:30-18:30",4.6,3.5,"{'大小洞天门票+电瓶车票大小同价\n\n': ['¥25起'], '大小洞天摩托艇体验大小同价\n\n': ['¥160起'], '大小洞天玻璃观光船特色观景票大小同价\n\n': ['¥168起']}",三亚
"海月广场Haiyue Square","全年 全天开放",4.5,1,"免费",三亚
"情人湾Lover Bay","全年 8:00-17:30",4.5,1.5,"{'★包船送红酒★三亚游艇出海租赁包艇|拼船送潜水+自驾体验海钓商务团建/生日/求婚/DJ轰趴\n\n': ['¥88起'], '★专业钓鱼艇 ★三亚出海纯海钓2-9人团鱼竿鱼饵空调卫生间现钓现吃\n\n': ['¥148起']}",三亚
"黎村苗寨Li Village Miao Village","全年 全天开放",3.9,12,"50元",三亚
"长寿谷Longevity Valley","8:00-17:00",4.6,1.5,"包含在南山文化旅游景区门票内，通用南山文化旅游景区门票。",三亚
"南山不老松","全天",4.3,1,"票价 ,三亚
 购买了大小洞天的门票（135元）后即可免费参观。,三亚
,三亚
,三亚
优惠政策 ,三亚
 1、身高1.2米以下儿童免票；身高1.2-1.4米儿童，门票半价优惠（70元）。,三亚
 2、60-69周岁老年人凭有效证件，门票半价优惠（70元）；70周岁以上（含70周岁）老年人凭有效证件免票。,三亚
 3、大、中、小学学生（不含成人教育学生）凭学生证，门票半价优惠（70元）。,三亚
 4、现役军人、离退休军人、残疾军人凭有效证件免票。5、残疾人凭有效证件，免票。",三亚
"小月湾Little Moon Bay","具体开放时间请咨询景区",4.4,1.5,"包含在南山大小洞天景区内，通用于南山大小洞天景区门票。",三亚
"观日岩Sunrising Rock","全年 08:00-17:30",4.7,1,"0元",三亚
"小洞天Xiaodongtian House","具体开放时间请咨询景区",4.5,2,"90元",三亚
"情人桥Lover's Bridge","全年 08:00-17:30",4.6,0.75,"需购买蜈支洲岛门票方可入园使用",三亚
"南海龙王别院House of Dragon King of the South Sea","具体开放时间请咨询景区",4.5,0.4,"包含于大小洞天景区内，通用大小洞天景区门票。",三亚
"南山海上观音Guanyin Goddess at Nanshan","8:00-17:30",4.8,1.5,"{'南山文化旅游区门票成人票\n\n': ['¥122起'], '南山文化旅游区门票+游览车票成人票\n\n': ['¥152起'], '南山文化旅游区门票+海上观音游船票成人票\n\n': ['¥198起']}",三亚
"海角一号Cape No.1","全年 08:00-21:00",4.8,2.5,"景区暂时停业，具体开放时间可见景区公示。",三亚
"万达文化中心","9:00-18:00",4.7,0.5,"免费",三亚
"天涯海角-财富石","夏季（3月1日-10月31日）售票时间：7:00-18:30,三亚
 冬季（11月1日-2月28日）售票时间：7:00-18:00",4.8,0.5,"票价,三亚
 1、旺季：散客101元，旅行社团队101元，优惠票50元。,三亚
 2、淡季：散客85元，旅行社团队85元，优惠票45元，其中含政府价调基金5元。,三亚
,三亚
 优惠政策,三亚
 1、学生、60-69岁老人、残疾人凭有效证件，身高1.2-1.4米之间儿童，按旺季50元，淡季45元购票入园。,三亚
 2、现役军人、革命伤残军人和离退休军人及70岁（含70岁）以上老人凭有效证件，身高1.2米以下儿童，可免票入园，其他人员免票按国家和省市有关规定执行。 ,三亚
,三亚
 Tips,三亚
 1、一般地，旺季指的是每年10月1日至次年4月30日，淡季指的是每年5月1日至9月30日。,三亚
 2、每年6月1日定为景区免费开放日，持本省有效证件（户口薄或身份证）可免票入园游览。",三亚
