名字,开放时间,评分,建议游玩时间,门票,来源城市
"加井岛Jiajing Island","8:00-18:30",4.5,4,330,万宁
"石梅湾Shimei Bay","全天开放",4.6,2,330,万宁
"巴厘村Bali Village","全年 07:30-17:30",4,12,25,万宁
"兴隆热带植物园Xinglong Tropical Botanical Garden","8:00-17:00",4.5,2.5,48,万宁
"大洲岛Dazhou Island","全天开放",4.8,12,498,万宁
"日月湾Riyue Bay Haimen Tourism Area","全年 07:30-17:30",4.7,1.75,288,万宁
"亚洲风情园","周一至周日07:00-18:00",4.3,3,38,万宁
"洲仔岛Zhouzai Island","全年 全天开放",4.1,108,0,万宁
"东山岭文化旅游区Dongshan Ridge Cultural Tourism Area","全年 07:30-17:00",4.5,4,40,万宁
"东南亚风情村","全天开放",3,2.5,0,万宁
"春园海风景区Chunyuanhai Sceneic Area","全年 全天开放",4.7,2.5,0,万宁
"兴隆热带花园Xinglong Tropical Garden","全年 7:30-18:00",4.2,2.5,7,万宁
"兴隆南药植物园Xinglong South Medicine Botanical Garden","景区暂时停业，详情请以景区公示为准；原开放时间：7:00-18:30",4.1,2.5,1,万宁
"西岛West Island","全年 08:30-17:30",4.4,4,90,三亚
"大东海Dadonghai","全天开放",4.6,12,9,三亚
"蜈支洲岛Wuzhizhou Island","1/1-8/9 08:00-19:30;8/10-9/9 09:00-17:30;9/10-12/31 08:00-17:30",4.6,108,140,三亚
"亚龙湾热带天堂森林公园Yalong Bay Tropical Paradise Forest Park","1/1-8/17 07:30-18:00;8/18-9/10 08:30-18:00;9/11-12/31 07:30-18:00",4.5,12,134.5,三亚
"椰梦长廊Coconut Dream Corridor","全年 全天开放",4.5,0.5,3,三亚
"三亚亚特兰蒂斯失落的空间水族馆The Lost Chambers Aquarium (Sanya)","1/1-9/24 10:00-18:00;9/25-11/2 10:00-22:00;11/3-11/3 09:00-13:00;11/4-12/31 10:00-20:00",4.5,1.5,192,三亚
"亚龙湾Yalong Bay","全天开放",4.7,252,2,三亚
"后海村Houhai Village","全天开放",4.5,72,1,三亚
"海棠湾Haitang Bay","全天开放",4.6,12,1,三亚
"亚龙湾国际玫瑰谷Yalong Bay Rose Valley","全年 08:00-17:30",3.9,2.5,44.4,三亚
"天涯海角Tianya Haijiao","全年 07:30-18:20",4.5,4,79,三亚
"凤凰岛Fenghuang Island","全年 周日 12:00-17:00;全年 周一,周三-周四 10:00-17:00;全年 周二 10:00-17:00,18:00-22:00",4.5,108,1100,三亚
"蝴蝶谷Butterfly Valley","暂停营业，具体开放时间以景区公告为准或电话咨询景区。原开放时间为：7:30-18:00。",4.5,2,33,三亚
"小东海Xiaodonghai","全年 9:00-16:00",4.6,3,368,三亚
"情人岛Lover Island","全年 08:00-17:30",4.6,1.5,1,三亚
"三亚湾Sanya Bay","全天开放",4.6,2.5,1300,三亚
"亚龙湾中心广场Yalong Bay Central Square","全天开放",4.6,1.5,218,三亚
"凤凰岭海誓山盟景区Sanya Phoenix Hill Park","9/1-9/30 周一,周三-周日 08:00-21:00;9/1-9/30 周二 13:00-21:00;10/1-12/31 周一,周三-周日 08:00-23:00;10/1-12/31 周二 13:00-23:00",4.6,2.5,94.1,三亚
"五指山Wuzhishan","7:30-16:00，16:00停止入场。",5,2.5,0,三亚
"天涯镇","全天",4.7,2.5,0,三亚
"亚龙湾滨海世界Yalong Bay Ailifang Marina Park","8:00-18:00",4.6,12,218,三亚
"鹿回头风景区Luhuitou Scenic Area","全年 08:00-22:30",4.6,3,35,三亚
"大小洞天Daxiaodongtian Area","全年 07:30-18:30",4.6,3.5,25,三亚
"海月广场Haiyue Square","全年 全天开放",4.5,1,0,三亚
"情人湾Lover Bay","全年 8:00-17:30",4.5,1.5,88,三亚
"黎村苗寨Li Village Miao Village","全年 全天开放",3.9,12,50,三亚
"南山不老松","全天",4.3,1,135,三亚
"观日岩Sunrising Rock","全年 08:00-17:30",4.7,1,0,三亚
"小洞天Xiaodongtian House","具体开放时间请咨询景区",4.5,2,90,三亚
"南山海上观音Guanyin Goddess at Nanshan","8:00-17:30",4.8,1.5,122,三亚
"万达文化中心","9:00-18:00",4.7,0.5,0,三亚
"天涯海角-财富石","夏季（3月1日-10月31日）售票时间：7:00-18:30,三亚
 冬季（11月1日-2月28日）售票时间：7:00-18:00",4.8,0.5,1,三亚
"天涯海角-平安石","7:30-18:00",4.5,0.5,1,三亚
"东瑁洲岛Dongmaozhou Island","全年 全天开放",3.6,5,3,三亚
"大金湖Dajin Lake","夏季（5月1日-10月7日）8:00-14:30；冬季（10月8日-次年4月30日）8:00-14:00；节假日景区正常开放，其中景区内各景点开放时间详见景区现场公示。",4.2,4.5,203,三明
"侠天下景区Xiatianxia Scenic Area","全年 08:00-17:00",4.2,12,188,三明
"九龙潭Nine Dragon Pond","8:00-16:00",4.5,1,100,三明
"玉华洞Yuhua Cave","全年 08:15-16:50;全年 08:15-16:30",4.4,2.5,90,三明
"明清园Mingqing Park (West Gate)","8:00-17:30",4.4,2.5,60,三明
"尚书第Shangshu Mansion","8:30-17:30",4.6,2.5,16.8,三明
"三明九阜山Jiufu Mountain","全年 8:00-17:00",4.4,12,20,三明
"上清溪Shangqing Rivulet","夏季（6月1日-10月31日）7:30-16:00；冬季（11月1日-次年5月31日）8:30-15:00；",4.4,2.75,130,三明
"状元岩Number One Scholar Rock","6月1日-10月31日8:00-16:00；11月1日-次年5月31日8:00-14:30。",4.6,1.5,21.97,三明
"鳞隐石林Fujian Linyin Stone Forest","8:00-17:00",4.2,1,44,三明
"天鹅洞群Swan Cave Group","4月1日-10月31日8:00-17:00；11月1日-次年3月31日8:30-16:30。",4.6,1,65,三明
"水上一线天Yixiantian over the Water","8：00-18：00",4,72,1.8,三明
"客家祖地Kejia Zudi","8:30-16:30",4.4,2,36,三明
"尤溪武洋花天下",,5,12,10,三明
"银屿岛Yinyu Island","全年 全天开放",4.5,3.5,4,三沙
"函谷关历史文化旅游区Hangu Pass Historical and Cultural Tourism Zone","全年 08:00-19:00",4.3,12,70,三门峡
"双龙湾景区Shuanglong Scenic Bay","8:00-18:00",4.2,4,65,三门峡
"虢国博物馆Guo State Museum","全年 09:00-17:30",4.4,2.5,50,三门峡
"灵宝娘娘山景区Lingbao Niangniang Mountain","全年 7:00-19:00",4.4,3.5,35,三门峡
"仰韶大峡谷The Grand Canyon of Yangshao","8:00-18:00",4.1,3.5,68,三门峡
"甘山国家森林公园Ganshan Forest Park","全年 09:00-16:00",4.5,3.5,9,三门峡
"空相寺Kongxiang Temple","全年 09:00-17:00",5,1.5,30,三门峡
"上海迪士尼度假区Shanghai Disney Resort","11/25-11/25 周四 09:00-20:30;11/26-11/26 周五 09:00-20:00;11/27-11/27 周六 09:00-20:30;11/28-11/28 周日 09:00-20:30;11/29-11/29 周一 09:00-20:00;11/30-12/5 周二-周日 09:00-20:30",4.7,108,1,上海
"外滩The Bund","全天开放",4.8,1.5,378,上海
"武康路Wukang Road","全年 全天开放",4.7,3.5,2,上海
"上海海洋水族馆Shanghai Ocean Aquarium","9/1-6/30 09:00-18:00;7/1-8/31 09:00-21:00;国庆节 09:00-21:00",4.6,2,155,上海
"朱家角古镇景区Zhujiajiao Ancient Town Scenic Area","全天开放，其中景区内景点时间详见景区公示。",4.5,26.4,40,上海
"上海自然博物馆Shanghai Natural History Museum","全年 周二-周日 09:00-17:00;01/01-12/31 周一 全天不开放 ;中国法定节假日 09:00-17:00",4.8,12,44.3,上海
"东方明珠Oriental Pearl Radio & Television Tower","1/1-9/30 09:00-21:00;10/1-10/7 08:00-22:00;10/8-12/31 09:00-21:00",4.7,2.5,195,上海
"田子坊Tianzifang","全天开放",4.4,3.5,35,上海
"上海海昌海洋公园Shanghai Haichang Ocean Park","11/1-11/30 周一-周五 09:30-17:30;11/1-11/30 周六-周日 09:30-18:00;12/1-12/31 周一-周五 10:00-17:00;12/1-12/31 周六-周日 09:30-17:30;12/24-12/26 周五-周日 09:30-20:00",4.6,12,254,上海
"上海科技馆Shanghai Science and Technology Museum","全年 周二-周日 09:00-17:00;全年 周一 全天不开放 ;中国法定节假日 08:30-17:30",4.7,4,88,上海
"上海中心大厦Shanghai Tower","全年 全天开放",4.6,3.5,0,上海
"上海博物馆Shanghai Museum","9:00-17:00，16:00后停止入场（每周一闭馆，除国定假日外）。",4.7,4.5,796,上海
"豫园Yu Garden","全年 周二-周日 09:00-16:30;全年 周一 全天不开放 ;中国法定节假日 09:00-16:30",4.7,1.5,30,上海
"上海野生动物园Shanghai Wild Animal Park","3/1-6/30 09:00-17:00;7/1-8/31 09:00-20:00;9/1-11/30 09:00-17:00;12/1-2/28 09:00-16:30",4.7,12,156.5,上海
"顾村公园Gucun Park","全年 06:00-18:00",4.6,3.5,49,上海
"上海环球金融中心Shanghai World Financial Center","1/2-6/30 11:00-21:00;国庆节,劳动节 10:00-22:00;7/1-8/31 11:00-22:00;9/1-12/31 11:00-20:00;10/9-10/9 11:00-18:00",4.7,2.5,0,上海
"上海辰山植物园Shanghai Chenshan Botanical Garden","全年 周一-周四,周日 10:00-17:30",4.7,4.5,60,上海
"龙美术馆西岸馆Long Museum (West Bund)","全年 周日 09:00-18:00;全年 周一-周三 10:00-18:00;全年 周四-周五 10:00-21:00",4.6,2.5,50,上海
"横沙岛Hengsha Island","全年 7:00-22:00",4.5,72,99,上海
"南京路步行街Nanjing Road Pedestrian Street","全天开放",4.7,2.5,49.9,上海
"静安寺Jing'an Temple","全年 7:30-17:00",4.6,1.5,5,上海
"泰晤士小镇Thames Town","全年 全天开放",4.5,144,6,上海
"上海之巅观光厅Top of Shanghai Observatory","1/1-4/2 08:30-21:00;4/3-12/31 08:30-22:00",4.6,2.5,118,上海
"陆家嘴Lujiazui","全天开放",4.8,3.5,2022,上海
"枫泾古镇Fengjing Ancient Town","05/01-10/7 08:00-17:00;10/8-04/30 08:00-16:30",4.3,12,38,上海
"长兴岛Changxing Island","全年 全天开放",4.5,72,99,上海
"迪士尼小镇Disneytown","11/3-11/4 10:00-21:00;11/5-11/7 10:00-22:00",4.7,3.5,1,上海
"上海老街Shanghai Old Street","全年 全天开放",4.7,2,1,上海
"广富林文化遗址Guangfulin Relics Park","1/1-2/10 09:00-17:00;2/10-2/10 09:00-14:00;2/11-12/31 09:00-17:00",4.6,4,29.9,上海
"城隍庙旅游区Shanghai City God Temple Tourist Area","01/01-12/31 全天开放",4.7,2.5,30,上海
"上海影视乐园Shanghai Film Park","1/1-9/12 08:30-16:30;9/13-9/14 全天不开放 ;9/15-9/22 08:30-16:30;9/23-9/24 全天不开放 ;9/25-12/31 08:30-16:30",4.4,5,64.4,上海
"豫园星空梦幻馆Yuyuan Fantasy Starry Pavilion","全年 10:00-22:00",3.8,2,65,上海
"人民广场People's Square","全天开放",4.7,1.5,24,上海
"大宁灵石公园Daning Park","全年 05:00-22:00",4.6,2.5,7,上海
"广富林遗址文化公园","全天",4.4,2,0,上海
"上海共青森林公园Gongqing National Forest Park","全年 05:00-19:30",4.7,4.5,258,上海
"新天地Xintiandi","全天开放",4.7,3.5,1,上海
"奉贤渔人码头Fisherman's Wharf","全年 全天开放",4.2,2.5,20,上海
"金茂大厦88层观光厅Jinmao Tower Observation Deck","3/13-12/31 08:30-21:30",4.7,1.5,88,上海
"上海动物园Shanghai Zoo","03/01-10/31 08:00-17:00;11/01-02/28 08:00-16:30",4.7,4,40,上海
"复旦大学Fudan University","全年 09:00-16:00",4.8,2.5,0,上海
"南翔古镇Nanxiang Ancient Town","古镇全天开放，内部景点开放时间不一，详见景点公示。",4.4,72,16,上海
"中华艺术宫China Art Museum","全年 周一-周四,周日 08:30-16:30",4.6,4,176,上海
"东滩湿地公园Dongtan Wetland Park","全年 周一 全天不开放 ;全年 周二-周日 08:30-17:00;中国法定节假日 08:30-17:00",4.2,5,42.9,上海
"上海汽车博物馆Shanghai Automobile Museum","周二-周日：9:30-16:30，周一不开放；法定节假日：9:30-16:30。",4.7,2.5,55,上海
"东平国家森林公园Dongping National Forest Park","7/3-12/31 09:00-17:30",4.5,4.5,60,上海
"淀山湖风景区Dianshan Lake Scenic Spot","全年 全天开放",4.4,3.5,750,上海
"步高里Bugaoli Scenic Resort","全年 全天开放",4.4,1.5,0,上海
"世纪公园Century Park","全年 05:00-21:00",4.8,4,80,上海
"上海植物园Shanghai Botanical Garden","8：30-17：00",4.5,3,18,上海
"中国共产党第一次全国代表大会会址The site of the first CPC National Congress","全年 周二-周日 09:00-17:00;全年 周一 全天不开放 ;中国法定节假日 09:00-17:00",4.7,0.75,10,上海
"上海马戏城Shanghai Circus World","上海马戏城根据演出时间开放，演出售票时间9:00-19:30；表演一般周五、周六19:30-21:00。",4.6,2,14,上海
"上海滨江森林公园Binjiang Forest Park","3/1-10/31 08:00-17:00;11/1-2/28 08:00-16:30",4.7,12,7,上海
"上海犹太难民纪念馆Shanghai Jewish Refugees Museum","全年 周二-周日 09:00-17:00;全年 周一 全天不开放",4.6,2.5,20,上海
"东方绿舟景区Oriental Land","4/1-10/31 08:30-16:30;11/1-3/31 08:30-16:00",4.6,72,42.6,上海
"太阳岛旅游度假区Sun Island","9:00-17:00",4.5,12,30,上海
"上海当代艺术博物馆Power Station of Art","全年 周二-周日 11:00-19:00;全年 周一 全天不开放",4.6,2.5,0,上海
"上海星空艺术馆Shanghaixingkong Art Museum","全年  10:00-22:00",4.1,1.5,49.9,上海
"花开海上生态园Huakai Haishang Ecological Park","01/01-2/10 08:00-17:00;2/11-2/12 09:00-16:00;2/13-12/31 08:00-17:00",4.6,2.5,28,上海
"上海薰衣草公园Momchilovtsi Herb Garden","9:00-17:00",4.7,2.5,98,上海
"多伦路文化名人街Duolun Road Cultural Street","全年 全天开放",4.4,1.5,0,上海
"七宝古镇Qibao Ancient Town","全年 全天开放",4.4,12,7,上海
"黄浦江观光区Huangpu River","免费tips:若乘船夜游：128元",4.5,5,0,上海
"周公馆Former Residence of Zhou Enlai in Shanghai","全年 09:07-16:33",4.7,1.5,78,上海
"古猗园Guyi Garden","3/1-11/30 05:30-19:30;12/1-2/28 06:00-19:00",4.7,3.5,0.5,上海
"上海长风海洋世界Changfeng Ocean World","每日开放时间：10:00-18:00（最后入馆时间17:00）",4.3,3,170,上海
"上海市历史博物馆Shanghai History Museum (People's Square)","周二-周日9:00-17:00（16:00停止入馆），周一闭馆。",4.7,2.5,128,上海
"望仙谷","全年 08:00-20:00",4.1,12,98.5,上饶
"婺源篁岭Wuyuan Huangling","全年 周一-周五 08:30-17:00",4.6,108,139,上饶
"婺源风景区Wuyuan Scenic Area","整个婺源县均在风景区范围内，12通票中的景点通常于7:30-18:30开放（旺季期间，部分景点有工作人员会值班至19:00，具体以景区为准）其余乡镇及村庄均为全天开放。",4.5,144,12,上饶
"月亮湾Moon Bay (Yueliang Bay, Wuyuan)","全天开放",4.4,1.5,158,上饶
"三清山风景区Sanqingshan Scenic Area","全年 全天开放",4.7,108,120,上饶
"李坑景区Li Valley","全年 07:30-19:30",4,2.5,55,上饶
"江岭景区Jiangling","全年 07:30-17:00",4.5,4,80,上饶
"晒秋人家","淡季（11月-4月）7:30-17:00旺季（3月-10月）6:00-18:00旺季结束时间视游客下山情况而定。",5,0.75,1,上饶
"龟峰风景名胜区Guifeng Scenic Area","全年 06:30-16:00",4.6,4,149.5,上饶
"葛仙村度假区Ge's Fairy Village","园区开放时间：全天开放，索道运行时间：8:00-17:00",4.8,108,90,上饶
"江湾景区Jiangwan Scenic Spot","全年 07:30-18:30",3.8,3,60,上饶
"大鄣山卧龙谷Dazhang Mountain Wolong Valley","全年 07:30-17:00",4.5,3.5,55,上饶
"灵岩洞国家森林公园Lingyan Cave National Forest Park","全年 07:30-17:00",4.2,1.5,55,上饶
"彩虹桥Rainbow Bridge","全年 08:00-17:30",4.3,1,55,上饶
"思溪延村Sixiyan Village","全年 07:30-18:30",4.1,2.5,55,上饶
"上下晓起Shang Xia Xiaoqi Village","7:30-18:30",3.9,2,60,上饶
"鸳鸯湖Yuanyang Lake","8:00-17:00",4.2,2,12,上饶
"石城Shicheng Chengcun","全年 全天开放",4.4,2.5,55,上饶
"汪口Wangkou Village","全年 07:30-17:00",4.1,1.5,55,上饶
"洪村Hong Village","7:00-19:00。",3.9,4,5,上饶
"浙源","周一至周日 08：00-17:00",4,2,60,上饶
"鄣山村","0:00-24:00",5,3,0,上饶
"百柱宗祠Baizhu Ancestral Hall","全年 7:00-17:30",3.9,1,210,上饶
"文公山Wengong Mountain","全年 07:30-17:00",4.1,2.5,55,上饶
"阳光海岸景区The Sunshine Coast Scenic Area","8:00-17:00",4.5,3.5,288,上饶
"巨蟒出山Python Mountains","全年 07:00-17:30",4.7,1.25,188,上饶
"菊径村Jujing Village","全年 全天开放",4.4,1,11,上饶
"三清山金沙索道Sanqingshan Jinsha Cableway","全年 周一-周五 7:30-17:30;全年 周六-周日 7:00-17:30",4.5,1.25,226,上饶
"西海岸景区West Coast Scenic Area","8:00-17:00",4.7,3,288,上饶
"玉京峰景区Yujingfeng Sceneic Area","全年 08:00-17:00;全年 07:30-17:30;全年 07:30-17:30;全年 08:00-17:00",4.6,3,409,上饶
"三清山南清园","旺季（2月1日-12月31日）,上饶
 周一至周五:8:00-17:00;,上饶
 周六至周日:7:30-17:30,上饶
 淡季（1月1日-1月31日）,上饶
 8:30-16:30",4,2.5,288,上饶
"高山平湖Gaoshanping Lake","全天",5,2,0,上饶
"东方女神Oriental Goddess","全年 8:00-17:00",4.8,1,2,上饶
"三清山梯云岭","7:00-20:00",5,1.5,2,上饶
"三龙出海Three-dragon Mountain","旺季（2月1日-12月31日）周一-周五：8:00-17:00，周六、周日：7:30-17:30；淡季（1月1日-1月31日）8:30-16:30。",4.7,1,150,上饶
"婺源博物馆Wuyuan Museum","景区暂时停业，详情请以景区公示为准，原开放时间周二-周日8:30-16:30，周一闭馆。",4.3,1,0,上饶
"猴王献宝Monkey King Presenting Treature","周一-周五8:00-17:00，周六、周日7:30-17:00，黄金周及重要节假日可能会略有调整，具体以景区为准。",4.5,1,2,上饶
"三清山外双溪索道Sanqing Shanwai Shuangsie Ropeway","全年 周一-周五 7:30-17:30;全年 周六-周日 07:00-17:30",4.7,1.25,70,上饶
"清风仙境Qingfeng Fairyland","8:00-17:30",4.3,3.5,7,上饶
"申明亭Shenming Pavilion","全天开放",4.4,0.25,210,上饶
"婺源严田Wuyuan Yantian","全年 07:30-17:00",4,2,60,上饶
"老道拜月Taoist Priest Worshipping the Moon","全年 周一-周五 08:00-17:00;全年 周六-周日 07:30-17:00",4.5,1,150,上饶
"鄱阳湖国家湿地公园Poyang Lake National Wetland Park","11/5-3/31 08:00-17:00",4.1,12,125,上饶
"东方市博物馆Dongfangshi Museum","8:00-18:00 (周六、日闭关）",3.7,2.5,0,东方
"大广坝水库","全天",4.5,1,0,东方
"可园Keyuan","全年 周二 全天不开放 ;全年 周一,周三-周日 09:00-17:30",4.6,2,4,东莞
"观音山旅游风景区Guanyin Mountain National Forest Park","06/01-09/30 07:00-17:30;10/01-05/31 07:00-17:00",4.5,5,38.4,东莞
"粤晖园Yuehuiyuan","疫情防控期间景区开放时间为8:30至18: 00（17：30停止售票），此外，游乐场暂不开放。",4.2,2.5,49.9,东莞
"鸦片战争博物馆Opium War Museum","全年 08:30-17:30",4.6,2.5,5,东莞
"袁崇焕纪念园Yuan Chonghuan Memorial Park","全年 08:00-17:30",4.4,2.5,7,东莞
"隐贤山庄Yinxian Mountain Villa","全年 周一-周五 09:00-21:00;全年 周六-周日 09:00-21:30",4.5,12,109,东莞
"南社明清古村落Nanshe Ming and Qing Ancient Village","9:00-18:00",4.2,2.5,26,东莞
"中国石油大学","全天",5,2.5,0,东营
"清风湖公园Qingfenghu Park","全年 7:00-22:00",4.6,1,6,东营
"黄河口生态旅游区Yellow River Estuary Ecotourism Area","8:30-17:00",4.1,72,0.6,东营
"东营傅家遗址Dongying Fu Clan Sites",,4.8,1,5,东营
"东营孙武祠Sunwuci","全年 8:00-18:00",4.6,1,6,东营
"东营历史博物馆Dongying City History Museum","全年 08:00-11:30,14:00-17:30;全年 08:30-11:30,13:30-17:00",4.6,1,6,东营
"白鹭园湿地公园","全年 08:00-18:00",5,2.5,9,东营
"花仙谷景区","04/01-10/31 08:30-18:00;11/01-03/31 09:00-17:00",3.8,2.5,30,东营
"东营市黄河文化博物馆Dongyingshi Huanghe Culture Museum","8:30-17:30（周一闭馆）",4.5,2.5,0,东营
"东营盐文化博物馆Dongying Salt Culture Museum","5月1日前：9:00-11:30、13:30-16:30；5月1日后：9:00-11:30、14:00-17:00；每周一闭馆。",4.7,2.5,50,东营
"东营电文化体验馆Dongyingdian Culture Experience Hall","5月1日前：9:00-11:30、13:30-16:30。5月1日之后：9:00-11:30、14:00-17:00；每周一闭馆。",5,2,50,东营
"沙坡头Shapotou","4/1-10/31 08:30-18:00;11/1-3/31 09:00-17:00",4.6,108,80,中卫
"腾格里沙漠Tenggeli Desert","全年 全天开放",4.8,12,480,中卫
"腾格里•金沙海Tengger Golden Sand Sea","全年 08:00-18:00",4.5,12,30,中卫
"天都山石窟",,4.2,1,30,中卫
"保安寺","旺季（4-10月）： 8:00-18:00 ,中卫
 淡季（11-3月）： 8:30-17:30",4,1,20,中卫
"石空寺石窟","8:00-20:00",4.3,1,20,中卫
"寺口子Sikouzi","全年 09:00-16:30",4.5,3,74.6,中卫
"腾格里沙漠湿地","8:30-17:30",4.6,1.5,60,中卫
"西安州古城","全天",4.1,1,0,中卫
"港中旅（宁夏）沙坡头旅游景区沙漠博物馆Gang Zhonglv (Ningxia) Sha Potou Lvyou Jingqu Shamo Museum","全年 周二-周日 9:00-18:00",4,2.5,0,中卫
"中宁县双龙山石窟文物陈列馆Zhongningxian Shuang Long Shan Shiku Wenwu Exhibition Hall","全年 9:00-17:00",3,1.5,0,中卫
"沙坡头缆车Shapotou Cableway","8:00-18:00",4.8,1.25,25,中卫
"黄河滑索","全年 8:00-17:30",4.7,1.25,100,中卫
"中山詹园Zhongshan Mansion Garden","8:30-17:30",4.5,2,50,中山
"中山影视城Zhongshan TV and Film City","全年 08:30-19:30",4.2,3,60,中山
"五桂山Wuguishan","全年 8:00-18:00",4.4,4.5,1,中山
"云梯山花海Yunti Mountain Flower Sea","景区暂时停业，详情请以景区公示为准。原开放时间：1月-3月9:00-18:00，4月-12月暂停营业，停业期间景区是否开放以景区公示为准。",4.7,1.5,38,中山
"孙中山故居纪念馆Sun Yat-Sen Memorial Hall","全年 09:00-17:30",4.6,2.5,0.5,中山
"紫马岭公园Zimaling Park","全年 07:00-20:00",4.5,1.5,8,中山
"鹿鸣湖山庄","8:30-18:00",3,3,10,中山
"幻彩摩天轮Symphony Ferris Wheel","全年 10:00-22:30;11/1-11/30 周一-周五 18:00-22:30;11/1-11/30 周六-周日 10:00-22:30",4.4,0.65,58,中山
"黄河壶口瀑布风景名胜区Hukou Waterfall","全年 08:00-17:00",4.6,2.5,0.5,临汾
"洪洞大槐树寻根祭祖园Hongdong Dahuaishu Ancestor Memorial Garden","9/16-10/7 07:30-18:30;10/8-12/31 08:00-18:00",4.5,2.5,75,临汾
"尧庙Temple of Yao","8:00-18:00",4.2,1.5,32,临汾
"广胜寺Guangsheng Temple","暂停营业，具体开放时间以景区公告为准或电话咨询景区。原开放时间为：夏令8:00-18:30， 冬令8:00-17:30。",4.5,2,38,临汾
"苏三监狱Susan Prison","旺季（4月-11月）8:00-18:30，淡季（12月-3月）8:00-17:30",3.9,2.5,32,临汾
"丁村民俗博物馆Ding Village Folk Museum","全年 08:30-18:00",4.5,2.5,7,临汾
"云丘山旅游风景区","7:00-18:00",4.1,10,80,临汾
"佛爷山旅游景区",,5,12,24,临汾
"赵城牡丹园","2020年4月18日-5月5日：9:00-18:00",4,2.5,68,临汾
"晋国古都博物馆Houma Jinguo Gudu Museum","夏季8：30-11:3015:00-17:30冬季9:00-11:3014:30-17:00",5,2.5,0,临汾
"尧都古镇Yaoxiang Ancient Town",,3.7,12,128,临汾
"云丘山玉皇顶索道Yunqiu Mountain Yuhuang Peak Ropeway","旺季（4月1日-10月31日）：8:00-18:00，淡季（11月1日-次年3月31日）：8:30-17:00",5,0.4,70,临汾
"竹泉村Bamboo Spring Village","全年 08:00-17:00;全年 08:00-17:30",4.3,4.5,90,临沂
"地下大峡谷Underground Great Canyon","全年 08:00-16:00",4.3,3,84,临沂
"天谷·天然地下画廊Tiangu·Natural Underground Gallery","8:00-17:00",4.5,1.75,35,临沂
"孟良崮旅游区Menglianggu Tourist Area","1/1-12/31 09:00-16:00",4.5,2,35,临沂
"天上王城景区Heavenly Kingdom Scenic Area","全年 08:00-17:00;全年 08:30-16:30",4.6,4,70,临沂
"临沂动植物园Linyi Zoo and Botanical Garden","4月1日-9月30日8:30-18:00；10月1日-次年3月31日8:30-17:00。",4.5,1.5,38.8,临沂
"蒙阴地下银河","8:00-17:00",3.2,4,50,临沂
