城市,纬度,经度
福州,26.0745,119.2965
汕尾,22.7845,115.3753
安庆,30.5429,117.0638
北京,39.9042,116.4074
常德,29.0316,111.6985
成都,30.5728,104.0668
楚雄州,25.0419,101.546
儋州,19.5211,109.5808
定西,35.5811,104.6258
恩施,30.2722,109.4882
贵阳,26.6477,106.6302
杭州,30.2741,120.1551
贺州,24.4035,111.566
呼和浩特,40.8426,111.7492
惠州,23.1103,114.4158
济源,35.0672,112.6025
嘉峪关,39.7731,98.2891
晋城,35.4907,112.8511
可克达拉,43.9408,81.0442
丽江,26.8575,100.2278
临高,19.912,109.6877
泸州,28.8717,105.4423
南充,30.8373,106.1107
攀枝花,26.5823,101.7186
潜江,30.4015,112.8993
琼海,19.2584,110.4746
三亚,18.2528,109.5119
邵阳,27.2389,111.4677
朔州,39.3316,112.4328
台州,28.6564,121.4208
通化,41.7283,125.9399
潍坊,36.7069,119.1618
五家渠,44.1674,87.5402
咸宁,29.8412,114.3224
雄安新区,39.0106,115.8828
扬州,32.3932,119.4132
中山,22.5176,113.3926
大理,25.6939,100.1617
包头,40.6574,109.8403
忻州,38.4167,112.7341
珠海,22.27,113.5767
凉山,27.8877,102.263
运城,35.0238,111.0075
白城,45.619,122.8387
唐山,39.6305,118.1806
博尔塔拉,44.9032,82.0666
阜新,42.0216,121.6703
宝鸡,34.3628,107.2377
阿里,32.5,80.1
保亭,18.639,109.7026
昌吉,44.0112,87.304
潮州,23.6567,116.6226
崇左,22.3782,107.3649
大兴安岭,50.424,124.1242
迪庆,27.819,99.702
鄂尔多斯,39.6083,109.7813
广州,23.1291,113.2644
海口,20.044,110.1999
河源,23.743,114.7007
衡阳,26.98,112.39
怀化,27.5,109.95
黄山,29.72,118.33
济南,36.67,117
嘉兴,30.77,120.76
金昌,38.52,102.19
喀什,39.47,75.99
乐东,18.73,109.17
临沧,23.88,100.08
陇南,33.73,105.35
马鞍山,31.56,118.48
那曲,31.47,92.1
宁德,26.65,119.52
七台河,45.771266,131.015584
清远,23.7,113.01
三明,26.23,117.61
上饶,28.47,117.97
石嘴山,39.01333,106.376173
遂宁,30.52,105.58
铁岭,42.2895233,123.8394899
万宁,18.8,110.39
吴忠,37.99,106.21
锡林郭勒盟,43.93,116.07
襄阳,32.02,112.14
邢台,37.07,114.48
延安,36.6,109.47
伊犁,43.92,81.32
鹰潭,28.23,117.03
云浮,22.93,112.02
张家口,40.82,114.87
肇庆,23.05,112.47
周口,33.62,114.65
淄博,36.82,118.05
宜昌,30.7,111.28
巴中,31.86,106.73
百色,23.9,106.62
佳木斯,46.83,130.35
眉山,30.05,103.83
沈阳,41.8,123.38
宿迁,33.96,118.3
榆林,38.28,109.73
拉萨,29.65,91.13
抚顺,41.88,123.97
乌兰察布,40.99,113.12
保定,38.85,115.48
赣州,25.83,114.93
安康,32.68,109.02
北海,21.48,109.12
昌江,19.25,109.05
郴州,25.78,113.02
滁州,32.3,118.32
丹东,40.13,124.37
定安,19.68,110.32
鄂州,30.4,114.88
贵港,23.1,109.6
汉中,33.07,107.02
菏泽,35.23,115.45
红河,23.37,103.38
黄石,30.2,115.03
济宁,35.42,116.58
金华,29.0792,119.6474
开封,34.7972,114.3076
乐山,29.5521,103.7658
临汾,36.088,111.5196
娄底,27.6997,111.9945
茂名,21.6612,110.9255
南昌,28.6829,115.8582
怒江,25.8176,98.8566
齐齐哈尔,47.3543,123.9179
庆阳,35.7091,107.6436
三沙,16.8327,112.3336
韶关,24.8104,113.5975
双鸭山,46.6461,131.1591
塔城,46.7454,82.9803
铁门关,41.8278,85.6665
威海,37.5097,122.1162
梧州,23.4769,111.2791
仙桃,30.3649,113.4545
孝感,30.9248,113.9169
兴安盟,46.0774,122.0703
延边,42.8913,129.5091
宜宾,28.751,104.6417
营口,40.6674,122.2352
张掖,38.9259,100.4498
郑州,34.7466,113.6254
自贡,29.3392,104.7784
烟台,37.4638,121.4489
铜仁,27.7315,109.1896
蚌埠,32.9169,117.3897
滨州,37.3827,117.9728
荆州,30.3348,112.2407
萍乡,27.622,113.8545
六安,31.7337,116.5224
泉州,24.8741,118.6759
白山,41.9408,126.4244
白沙,19.2254,109.4526
西安,34.3416,108.9398
阿勒泰,47.8456,88.1402
鞍山,41.1078,122.9946
保山,25.112,99.1618
毕节,27.3026,105.305
沧州,38.3044,116.8388
朝阳,41.5737,120.4504
赤峰,42.2586,118.8889
大同,40.0768,113.3001
德州,37.4355,116.3592
东营,37.434,118.6744
阜阳,32.9012,115.8204
广元,32.4355,105.8434
哈密,42.8185,93.515
河池,24.6929,108.0854
鹤壁,35.747,114.2971
衡水,37.7389,115.6702
湖州,30.8943,120.0868
淮安,33.6104,119.0153
黄冈,30.4534,114.8724
吉林市,43.8378,126.5496
揭阳,23.5497,116.3728
酒泉,39.7326,98.4945
昆明,25.0406,102.7123
来宾,23.7503,109.2214
廊坊,39.5378,116.6835
