user_id,items,click
0,"[62, 72, 37, 5, 97, 55, 92, 46, 38, 49]","[0, 0, 1, 0, 0, 0, 1, 0, 1, 1]"
1,"[10, 20, 14, 52, 71, 29, 5, 14, 79, 51]","[0, 1, 1, 1, 0, 1, 0, 1, 1, 1]"
2,"[70, 40, 60, 36, 12, 35, 62, 69, 62, 58]","[0, 0, 0, 1, 0, 1, 0, 0, 1, 1]"
3,"[78, 13, 67, 17, 5, 26, 63, 27, 41, 13]","[1, 0, 0, 0, 1, 0, 1, 1, 0, 1]"
4,"[7, 26, 17, 68, 43, 47, 94, 92, 72, 58]","[1, 0, 1, 1, 1, 0, 0, 1, 1, 1]"
5,"[93, 49, 20, 93, 56, 61, 55, 92, 23, 57]","[1, 0, 0, 1, 1, 0, 0, 1, 0, 0]"
6,"[37, 56, 5, 59, 80, 90, 61, 31, 70, 89]","[1, 1, 1, 1, 0, 0, 1, 1, 0, 0]"
7,"[38, 68, 39, 79, 13, 35, 11, 75, 54, 36]","[0, 1, 1, 0, 0, 0, 0, 1, 1, 0]"
8,"[17, 92, 25, 94, 59, 94, 59, 58, 18, 12]","[1, 1, 0, 1, 1, 0, 1, 0, 0, 0]"
9,"[7, 25, 67, 59, 36, 44, 85, 72, 38, 42]","[1, 0, 0, 1, 1, 1, 1, 0, 0, 0]"
10,"[12, 98, 3, 16, 5, 40, 55, 29, 53, 22]","[1, 1, 1, 0, 0, 1, 1, 0, 0, 0]"
11,"[88, 76, 17, 95, 48, 37, 0, 74, 4, 95]","[0, 1, 0, 1, 1, 1, 0, 1, 1, 1]"
12,"[76, 44, 51, 16, 37, 14, 36, 4, 47, 0]","[1, 1, 0, 1, 0, 1, 0, 0, 0, 0]"
13,"[10, 5, 23, 47, 67, 38, 18, 94, 80, 31]","[0, 1, 1, 1, 1, 0, 0, 1, 1, 0]"
14,"[19, 31, 19, 39, 39, 61, 97, 44, 54, 94]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
15,"[84, 30, 76, 53, 33, 90, 18, 6, 2, 26]","[0, 1, 1, 1, 1, 0, 1, 1, 1, 1]"
16,"[69, 49, 25, 12, 52, 70, 47, 73, 10, 72]","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
17,"[70, 1, 63, 65, 21, 46, 0, 86, 36, 26]","[0, 0, 1, 0, 1, 0, 1, 0, 1, 0]"
18,"[73, 72, 52, 84, 23, 62, 48, 59, 43, 42]","[1, 0, 1, 1, 1, 1, 0, 1, 0, 0]"
19,"[41, 37, 6, 58, 85, 3, 75, 11, 29, 78]","[1, 0, 1, 1, 0, 1, 0, 1, 0, 0]"
20,"[60, 73, 99, 25, 26, 51, 79, 27, 4, 85]","[1, 1, 1, 1, 0, 0, 1, 1, 0, 0]"
21,"[43, 6, 13, 77, 17, 40, 94, 68, 18, 2]","[1, 0, 1, 1, 1, 1, 1, 1, 0, 1]"
22,"[92, 46, 14, 46, 45, 97, 4, 10, 63, 18]","[0, 0, 1, 0, 1, 0, 1, 0, 1, 0]"
23,"[77, 9, 46, 60, 76, 29, 75, 24, 59, 72]","[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
24,"[11, 15, 25, 21, 22, 81, 92, 91, 72, 91]","[0, 1, 1, 1, 1, 0, 0, 1, 0, 1]"
25,"[52, 43, 81, 50, 16, 64, 26, 7, 54, 82]","[0, 1, 1, 0, 0, 1, 0, 0, 0, 1]"
26,"[42, 44, 98, 75, 87, 70, 78, 46, 54, 50]","[1, 1, 0, 1, 0, 1, 1, 0, 1, 1]"
27,"[9, 34, 94, 1, 38, 78, 80, 94, 50, 13]","[0, 0, 1, 1, 1, 1, 1, 0, 0, 0]"
28,"[86, 6, 74, 43, 1, 73, 90, 48, 79, 17]","[1, 0, 1, 1, 1, 1, 0, 1, 1, 1]"
29,"[13, 53, 70, 88, 10, 43, 5, 40, 15, 14]","[1, 0, 1, 1, 0, 0, 0, 0, 1, 0]"
30,"[95, 27, 67, 34, 41, 13, 17, 40, 74, 38]","[0, 1, 1, 0, 1, 0, 0, 0, 0, 1]"
31,"[50, 44, 84, 52, 25, 75, 44, 81, 5, 83]","[1, 1, 0, 1, 1, 0, 0, 1, 0, 1]"
32,"[41, 82, 29, 13, 9, 54, 8, 25, 33, 17]","[1, 1, 0, 1, 0, 1, 0, 0, 0, 0]"
33,"[37, 9, 46, 12, 88, 22, 56, 78, 45, 33]","[0, 0, 1, 1, 0, 1, 0, 0, 1, 0]"
34,"[97, 49, 65, 10, 70, 16, 71, 27, 38, 84]","[1, 0, 1, 0, 0, 0, 0, 1, 0, 1]"
35,"[40, 40, 27, 94, 36, 98, 59, 89, 27, 56]","[1, 0, 1, 0, 1, 0, 1, 0, 1, 1]"
36,"[39, 12, 84, 75, 76, 91, 47, 57, 21, 12]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]"
37,"[23, 13, 8, 84, 53, 82, 80, 13, 8, 6]","[1, 1, 1, 0, 0, 0, 0, 1, 1, 0]"
38,"[58, 23, 72, 80, 18, 74, 15, 88, 64, 3]","[0, 0, 1, 1, 0, 1, 0, 0, 0, 1]"
39,"[72, 71, 92, 41, 19, 86, 67, 78, 66, 87]","[1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
40,"[37, 82, 55, 35, 99, 65, 93, 20, 99, 46]","[0, 1, 0, 0, 1, 1, 0, 0, 0, 1]"
41,"[51, 4, 68, 6, 41, 3, 39, 27, 13, 44]","[0, 0, 1, 0, 0, 0, 0, 0, 1, 1]"
42,"[5, 69, 57, 30, 18, 16, 81, 75, 9, 9]","[0, 0, 0, 1, 0, 0, 1, 1, 0, 1]"
43,"[48, 27, 25, 84, 76, 24, 5, 34, 76, 59]","[1, 1, 1, 1, 0, 1, 0, 0, 0, 0]"
44,"[98, 5, 20, 31, 98, 23, 19, 85, 47, 6]","[0, 1, 0, 1, 0, 0, 0, 1, 0, 0]"
45,"[22, 28, 28, 78, 89, 5, 66, 35, 75, 51]","[1, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
46,"[65, 61, 26, 28, 39, 97, 47, 32, 4, 54]","[0, 1, 1, 1, 0, 0, 1, 1, 0, 0]"
47,"[16, 70, 95, 2, 17, 65, 32, 97, 38, 68]","[0, 0, 1, 1, 1, 1, 1, 1, 0, 0]"
48,"[16, 2, 46, 61, 46, 32, 23, 61, 1, 36]","[1, 0, 1, 1, 0, 1, 0, 0, 1, 0]"
49,"[22, 31, 1, 93, 3, 3, 98, 36, 42, 20]","[1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
50,"[48, 94, 30, 89, 7, 42, 12, 4, 27, 76]","[1, 0, 0, 1, 1, 0, 0, 1, 1, 0]"
51,"[71, 0, 51, 34, 96, 23, 64, 71, 30, 18]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
52,"[90, 3, 70, 6, 20, 58, 2, 85, 47, 52]","[0, 0, 0, 0, 0, 1, 1, 1, 0, 1]"
53,"[93, 79, 89, 24, 60, 64, 61, 77, 12, 70]","[1, 1, 1, 0, 1, 1, 1, 1, 1, 1]"
54,"[68, 87, 47, 74, 38, 48, 36, 93, 25, 35]","[1, 0, 0, 0, 1, 0, 1, 0, 1, 1]"
55,"[77, 82, 17, 3, 8, 47, 43, 61, 3, 44]","[1, 1, 1, 0, 0, 1, 1, 1, 0, 0]"
