Date, Price, Wind power forecast, Ampirion zonal load forecast
2012-01-09 00:00:00,34.97,2072,16382
2012-01-09 01:00:00,33.43,1929.75,15410.5
2012-01-09 02:00:00,32.74,1856,15595
2012-01-09 03:00:00,32.46,1808.75,16521
2012-01-09 04:00:00,32.5,1765.75,17700.75
2012-01-09 05:00:00,36.13,1721.75,19348.75
2012-01-09 06:00:00,43.02,1691.25,23058.5
2012-01-09 07:00:00,59.03,1723.25,25349.25
2012-01-09 08:00:00,64.48,1807.75,26336.75
2012-01-09 09:00:00,58.72,1907.5,26321
2012-01-09 10:00:00,56.48,2066.25,26702.25
2012-01-09 11:00:00,56.04,2208.25,27067.25
2012-01-09 12:00:00,55.7,2378,27118.25
2012-01-09 13:00:00,54.84,2576.25,27294
2012-01-09 14:00:00,52.32,2789.5,26945
2012-01-09 15:00:00,50.72,3099.75,26476.25
2012-01-09 16:00:00,51.89,3401.75,26262.75
2012-01-09 17:00:00,57.02,3735.75,27124.75
2012-01-09 18:00:00,61.27,4165.25,27223.75
2012-01-09 19:00:00,53.2,4509,26864.75
2012-01-09 20:00:00,47.31,4810,25721.5
2012-01-09 21:00:00,42,4988.5,24687.25
2012-01-09 22:00:00,42.19,5098.75,23773.25
2012-01-09 23:00:00,41.34,5326.75,21544
2012-01-10 00:00:00,31.92,6637.5,19653.5
2012-01-10 01:00:00,31.11,6715.5,18728.75
2012-01-10 02:00:00,30.71,6652.75,18267.5
2012-01-10 03:00:00,28.06,6381.25,18869.5
2012-01-10 04:00:00,30.5,6059.25,19515.5
2012-01-10 05:00:00,33.82,5595,20626.5
2012-01-10 06:00:00,39.82,5112.25,23725.25
2012-01-10 07:00:00,47.99,4673.75,26307.5
2012-01-10 08:00:00,52.96,4253.25,27139.5
2012-01-10 09:00:00,51.06,3917.75,27179.5
2012-01-10 10:00:00,51.06,3607.5,27406
2012-01-10 11:00:00,53,3285.25,27814.25
2012-01-10 12:00:00,52.21,3017,27924.25
2012-01-10 13:00:00,52.96,2772,27863.25
2012-01-10 14:00:00,51.99,2570.25,27100.75
2012-01-10 15:00:00,51.94,2385.75,26729.75
2012-01-10 16:00:00,54.96,2288.5,26989.75
2012-01-10 17:00:00,61.18,2352,27868.75
