Date, Prices, Generation forecast, System load forecast
2011-01-09 00:00:00,32.542,63065,63000
2011-01-09 01:00:00,21.549,62715,58800
2011-01-09 02:00:00,15.711,61952,58500
2011-01-09 03:00:00,10.583,59262,54300
2011-01-09 04:00:00,10.324,56883,51900
2011-01-09 05:00:00,10.325,56332,50900
2011-01-09 06:00:00,9.223,55096,50100
2011-01-09 07:00:00,10.002,55507,51000
2011-01-09 08:00:00,10.191,58763,53200
2011-01-09 09:00:00,30,60500,54800
2011-01-09 10:00:00,46.022,63192,57800
2011-01-09 11:00:00,50.835,64278,59900
2011-01-09 12:00:00,53.024,65547,61900
2011-01-09 13:00:00,46.616,64460,64700
2011-01-09 14:00:00,43.441,63373,59800
2011-01-09 15:00:00,36.36,63280,58300
2011-01-09 16:00:00,39.222,62791,56900
2011-01-09 17:00:00,56.276,64533,58800
2011-01-09 18:00:00,63.02,69141,64300
2011-01-09 19:00:00,62.379,69446,67200
2011-01-09 20:00:00,57.473,67761,68100
2011-01-09 21:00:00,49.373,66266,65400
2011-01-09 22:00:00,52.013,65710,62300
2011-01-09 23:00:00,47.004,65757,65400
2011-01-10 00:00:00,30,65565,64100
2011-01-10 01:00:00,25.091,64758,60300
2011-01-10 02:00:00,20.566,64689,61000
2011-01-10 03:00:00,15.036,64190,58100
2011-01-10 04:00:00,15.702,64147,56200
2011-01-10 05:00:00,25.635,64693,57200
2011-01-10 06:00:00,51.641,67325,60500
2011-01-10 07:00:00,63.304,73016,68300
2011-01-10 08:00:00,62.99,76086,73700
2011-01-10 09:00:00,61.202,74958,74300
2011-01-10 10:00:00,62.669,74666,75000
2011-01-10 11:00:00,62.978,73932,75400
2011-01-10 12:00:00,62.88,73921,76500
2011-01-10 13:00:00,61.405,73069,77600
2011-01-10 14:00:00,60.505,72046,74800
2011-01-10 15:00:00,57.519,72087,73400
2011-01-10 16:00:00,59.922,72232,72200
2011-01-10 17:00:00,67.1,75967,73400
2011-01-10 18:00:00,69.93,78980,79300
2011-01-10 19:00:00,63.182,76756,82400
2011-01-10 20:00:00,54.717,73823,79800
2011-01-10 21:00:00,43.936,69858,74900
2011-01-10 22:00:00,43.375,69661,70300
2011-01-10 23:00:00,32.324,68814,73400
2011-01-11 00:00:00,47.31,67939,69600
2011-01-11 01:00:00,45.011,66564,65600
2011-01-11 02:00:00,41.91,66398,66100
2011-01-11 03:00:00,34.15,66064,63200
2011-01-11 04:00:00,35.015,66035,60700
2011-01-11 05:00:00,44.919,66599,61000
2011-01-11 06:00:00,49.814,68119,64400
2011-01-11 07:00:00,63.076,72495,71300
2011-01-11 08:00:00,64.851,74873,76600
2011-01-11 09:00:00,63.045,74473,76200
2011-01-11 10:00:00,62.681,73965,75900
2011-01-11 11:00:00,63.696,74444,75000
2011-01-11 12:00:00,65.028,74554,75700
2011-01-11 13:00:00,65.036,74409,76500
2011-01-11 14:00:00,62.952,73949,74300
2011-01-11 15:00:00,60,72926,72600
2011-01-11 16:00:00,62.941,74924,71500
2011-01-11 17:00:00,69.037,77678,72300
2011-01-11 18:00:00,71.614,77710,76700
2011-01-11 19:00:00,67.992,77496,79400
2011-01-11 20:00:00,63.672,74617,76300
2011-01-11 21:00:00,53.285,70768,71000
2011-01-11 22:00:00,56.182,69797,67100
2011-01-11 23:00:00,49.325,67142,69700
2011-01-12 00:00:00,37.932,66461,68400
2011-01-12 01:00:00,34.015,66270,64400
2011-01-12 02:00:00,24.287,65437,64900
2011-01-12 03:00:00,16.507,64689,62000
2011-01-12 04:00:00,14.059,65562,59900
2011-01-12 05:00:00,32.546,66296,60200
2011-01-12 06:00:00,43.692,67702,64100
2011-01-12 07:00:00,57.653,72055,69900
2011-01-12 08:00:00,60,75300,75800
2011-01-12 09:00:00,60.38,75139,76700
2011-01-12 10:00:00,61.429,74585,76700
2011-01-12 11:00:00,63.053,75036,76400
2011-01-12 12:00:00,60.429,73782,77000
2011-01-12 13:00:00,59.845,73125,77200
2011-01-12 14:00:00,60.003,72438,75100
2011-01-12 15:00:00,57.913,71351,73000
2011-01-12 16:00:00,59.424,72075,71500
2011-01-12 17:00:00,66.173,74347,71600
2011-01-12 18:00:00,66.75,75294,75600
2011-01-12 19:00:00,59.94,74400,78600
2011-01-12 20:00:00,52.1,71423,74900
2011-01-12 21:00:00,46.832,68668,69400
2011-01-12 22:00:00,48.565,67800,65400
2011-01-12 23:00:00,43.891,67195,68400
2011-01-13 00:00:00,31.041,65404,66900
2011-01-13 01:00:00,24.93,64519,61700
2011-01-13 02:00:00,16.656,64094,61800
2011-01-13 03:00:00,10.459,62278,59200
2011-01-13 04:00:00,10.284,61688,56700
2011-01-13 05:00:00,14.397,63172,57000
2011-01-13 06:00:00,46.079,65448,60600
2011-01-13 07:00:00,62.113,71039,67800
2011-01-13 08:00:00,62.417,72894,73500
2011-01-13 09:00:00,58.695,72491,72800
2011-01-13 10:00:00,56.958,72376,72200
