2024-10-26 12:26:49 EvalCallBack metricdict_values([0.8458758217108124]); eval_time17s
2024-10-26 12:26:50 EvalCallBack metricdict_values([0.8579940788180488]); eval_time0s
2024-10-26 12:26:51 EvalCallBack metricdict_values([0.8583955538680588]); eval_time0s
2024-10-26 12:26:52 EvalCallBack metricdict_values([0.858719142995529]); eval_time0s
2024-10-26 12:26:53 EvalCallBack metricdict_values([0.8590515295863544]); eval_time0s
2024-10-26 12:26:54 EvalCallBack metricdict_values([0.8590924081867413]); eval_time0s
2024-10-26 12:26:55 EvalCallBack metricdict_values([0.8588648502292345]); eval_time0s
2024-10-26 12:26:56 EvalCallBack metricdict_values([0.8591149583276821]); eval_time0s
2024-10-26 12:26:57 EvalCallBack metricdict_values([0.8594636183360838]); eval_time0s
2024-10-26 12:26:58 EvalCallBack metricdict_values([0.8595634156222242]); eval_time0s
2024-10-26 12:26:59 EvalCallBack metricdict_values([0.8595065849784128]); eval_time0s
2024-10-26 12:27:00 EvalCallBack metricdict_values([0.8593538746089546]); eval_time0s
2024-10-26 12:27:01 EvalCallBack metricdict_values([0.8591992859739498]); eval_time0s
2024-10-26 12:27:02 EvalCallBack metricdict_values([0.8587975560976526]); eval_time0s
2024-10-26 12:27:03 EvalCallBack metricdict_values([0.858370176949109]); eval_time0s
2024-10-26 12:27:04 EvalCallBack metricdict_values([0.858651659627016]); eval_time0s
2024-10-26 12:27:05 EvalCallBack metricdict_values([0.8583813228948138]); eval_time0s
2024-10-26 12:27:06 EvalCallBack metricdict_values([0.8581421001647339]); eval_time0s
2024-10-26 12:27:07 EvalCallBack metricdict_values([0.8576304529343692]); eval_time0s
2024-10-26 12:27:07 EvalCallBack metricdict_values([0.857442177797802]); eval_time0s
2024-10-26 12:27:08 EvalCallBack metricdict_values([0.8575126744426598]); eval_time0s
2024-10-26 12:27:09 EvalCallBack metricdict_values([0.8568617827895009]); eval_time0s
2024-10-26 12:27:10 EvalCallBack metricdict_values([0.8566568537075485]); eval_time0s
2024-10-26 12:27:11 EvalCallBack metricdict_values([0.8560402421464709]); eval_time0s
2024-10-26 12:27:12 EvalCallBack metricdict_values([0.8562833412211859]); eval_time0s
2024-10-26 12:27:13 EvalCallBack metricdict_values([0.8554890126297772]); eval_time0s
